destinatario,userIp,notificationId,mensaje,latencia_ms,timestamp
Buyer,192.168.2.11,notif-1756614653324-769,Este es el mensaje de la notificacion,513,1756614653971
Seller,192.168.1.40,notif-1756614653392-841,Este es el mensaje de la notificacion,514,1756614654010
Buyer,192.168.2.21,notif-1756614653392-841,Este es el mensaje de la notificacion,514,1756614654010
Seller,192.168.1.19,notif-1756614653434-570,Este es el mensaje de la notificacion,516,1756614654067
Buyer,192.168.2.30,notif-1756614653434-570,Este es el mensaje de la notificacion,516,1756614654067
Seller,192.168.1.55,notif-1756614653478-8369,Este es el mensaje de la notificacion,504,1756614654083
Buyer,192.168.2.100,notif-1756614653478-8369,Este es el mensaje de la notificacion,504,1756614654083
Seller,192.168.1.5,notif-1756614653517-7227,Este es el mensaje de la notificacion,505,1756614654107
Buyer,192.168.2.35,notif-1756614653517-7227,Este es el mensaje de la notificacion,505,1756614654107
Seller,192.168.1.74,notif-1756614653668-2522,Este es el mensaje de la notificacion,501,1756614654184
Buyer,192.168.2.39,notif-1756614653668-2522,Este es el mensaje de la notificacion,501,1756614654184
Seller,192.168.1.26,notif-1756614653668-4638,Este es el mensaje de la notificacion,507,1756614654323
Buyer,192.168.2.79,notif-1756614653668-4638,Este es el mensaje de la notificacion,507,1756614654323
Seller,192.168.1.79,notif-1756614653760-1718,Este es el mensaje de la notificacion,501,1756614654323
Buyer,192.168.2.9,notif-1756614653760-1718,Este es el mensaje de la notificacion,501,1756614654323
Seller,192.168.1.46,notif-1756614653767-8331,Este es el mensaje de la notificacion,500,1756614654353
Buyer,192.168.2.16,notif-1756614653767-8331,Este es el mensaje de la notificacion,500,1756614654353
Seller,192.168.1.37,notif-1756614653784-5637,Este es el mensaje de la notificacion,504,1756614654437
Buyer,192.168.2.37,notif-1756614653784-5637,Este es el mensaje de la notificacion,504,1756614654437
Seller,192.168.1.5,notif-1756614653795-5701,Este es el mensaje de la notificacion,512,1756614654485
Buyer,192.168.2.70,notif-1756614653795-5701,Este es el mensaje de la notificacion,512,1756614654485
Seller,192.168.1.52,notif-1756614654123-2776,Este es el mensaje de la notificacion,532,1756614654666
Buyer,192.168.2.50,notif-1756614654123-2776,Este es el mensaje de la notificacion,532,1756614654666
Seller,192.168.1.18,notif-1756614654199-7064,Este es el mensaje de la notificacion,506,1756614654712
Buyer,192.168.2.7,notif-1756614654199-7064,Este es el mensaje de la notificacion,506,1756614654712
Seller,192.168.1.15,notif-1756614654228-4876,Este es el mensaje de la notificacion,504,1756614654742
Buyer,192.168.2.59,notif-1756614654228-4876,Este es el mensaje de la notificacion,504,1756614654742
Seller,192.168.1.71,notif-1756614654244-8561,Este es el mensaje de la notificacion,503,1756614654763
Buyer,192.168.2.35,notif-1756614654244-8561,Este es el mensaje de la notificacion,503,1756614654763
Seller,192.168.1.7,notif-1756614654378-7294,Este es el mensaje de la notificacion,501,1756614654892
Buyer,192.168.2.62,notif-1756614654378-7294,Este es el mensaje de la notificacion,501,1756614654892
Seller,192.168.1.25,notif-1756614654394-67,Este es el mensaje de la notificacion,506,1756614654904
Buyer,192.168.2.84,notif-1756614654394-67,Este es el mensaje de la notificacion,506,1756614654904
Seller,192.168.1.62,notif-1756614654425-5833,Este es el mensaje de la notificacion,504,1756614654938
Buyer,192.168.2.32,notif-1756614654425-5833,Este es el mensaje de la notificacion,504,1756614654938
Seller,192.168.1.30,notif-1756614654425-4208,Este es el mensaje de la notificacion,513,1756614654946
Buyer,192.168.2.40,notif-1756614654425-4208,Este es el mensaje de la notificacion,513,1756614654946
Seller,192.168.1.21,notif-1756614654471-7148,Este es el mensaje de la notificacion,502,1756614654982
Buyer,192.168.2.54,notif-1756614654471-7148,Este es el mensaje de la notificacion,502,1756614654982
Seller,192.168.1.66,notif-1756614654471-6876,Este es el mensaje de la notificacion,504,1756614654993
Buyer,192.168.2.24,notif-1756614654471-6876,Este es el mensaje de la notificacion,504,1756614654993
Seller,192.168.1.46,notif-1756614654670-4319,Este es el mensaje de la notificacion,513,1756614655190
Buyer,192.168.2.72,notif-1756614654670-4319,Este es el mensaje de la notificacion,513,1756614655190
Seller,192.168.1.19,notif-1756614654693-6767,Este es el mensaje de la notificacion,501,1756614655218
Buyer,192.168.2.52,notif-1756614654693-6767,Este es el mensaje de la notificacion,501,1756614655218
Seller,192.168.1.22,notif-1756614654730-2754,Este es el mensaje de la notificacion,503,1756614655247
Buyer,192.168.2.28,notif-1756614654730-2754,Este es el mensaje de la notificacion,503,1756614655247
Seller,192.168.1.48,notif-1756614654742-9329,Este es el mensaje de la notificacion,507,1756614655270
Buyer,192.168.2.92,notif-1756614654742-9329,Este es el mensaje de la notificacion,507,1756614655270
Seller,192.168.1.16,notif-1756614654893-9753,Este es el mensaje de la notificacion,510,1756614655409
Buyer,192.168.2.96,notif-1756614654893-9753,Este es el mensaje de la notificacion,510,1756614655409
Seller,192.168.1.70,notif-1756614654946-2185,Este es el mensaje de la notificacion,507,1756614655460
Buyer,192.168.2.69,notif-1756614654946-2185,Este es el mensaje de la notificacion,507,1756614655460
Seller,192.168.1.17,notif-1756614654976-9742,Este es el mensaje de la notificacion,503,1756614655487
Buyer,192.168.2.64,notif-1756614654976-9742,Este es el mensaje de la notificacion,503,1756614655487
Seller,192.168.1.5,notif-1756614655161-4675,Este es el mensaje de la notificacion,503,1756614655669
Buyer,192.168.2.98,notif-1756614655161-4675,Este es el mensaje de la notificacion,503,1756614655669
Seller,192.168.1.79,notif-1756614655210-3947,Este es el mensaje de la notificacion,507,1756614655726
Buyer,192.168.2.30,notif-1756614655210-3947,Este es el mensaje de la notificacion,507,1756614655726
